zid,longitude,latitude,location_name,city,country
181,-2.135246667,52.585210000,Wolverhampton,Leeds,United Kingdom
184,-2.124341667,52.581085000,Ring Road St Georges,Wolverhampton,United Kingdom
199,-1.546125000,53.803826667,Queeen Square S Acre Primary School,Leeds,United Kingdom
225,-2.126881667,52.589433333,Stafford Street,Wolverhampton,United Kingdom
244,-2.134195000,52.584090000,Ring Road St Marks,Wolverhampton,United Kingdom
245,-2.128898333,52.588155000,Ring Road St Peters,Wolverhampton,United Kingdom
285,-2.122040000,52.587818333,Broad Street Junction,Wolverhampton,United Kingdom
338,-2.155620000,52.602623333,Waweek,Wolverhampton,United Kingdom
339,-2.161036667,52.598671667,Woden Avenue,Wolverhampton,United Kingdom
341,-2.150353333,52.597816667,Wood,Wolverhampton,United Kingdom
342,-2.139968333,52.585630000,Ring,Wolverhampton,United Kingdom
346,-2.078760000,52.584141667,ello,Wolverhampton,United Kingdom
392,-2.108735000,52.592653333,Woden Road,Wolverhampton,United Kingdom
409,-2.18131666,52.575593333,Bhylls Lane,Wolverhampton,United Kingdom
412,-2.121358333,52.585243333,Road,Wolverhampton,United Kingdom
